"restName"	"Address"	"Phone"	"webSite"	"openingDays"	"Takes_Reservations"	"Delivery"	"Take_out"	"Accepts_Credit_Cards"	"Accepts_Apple_Pay"	"Accepts_Android_Pay"	"Accepts_Bitcoin"	"Good_For"	"Parking"	"Bike_Parking"	"Good_for_Kids"	"Good_for_Groups"	"Attire"	"Ambience"	"Noise_Level"	"Alcohol"	"Outdoor_Seating"	"Wi_Fi"	"Has_TV"	"Good_for_Kids.1"	"Caters"	"Gender_Neutral_Restrooms"	"ContactPage"	"CustomerEmail"
"Capo’s Chicago Pizza"	"641 Vallejo StSan Francisco, CA 94133"	"(415) 986-8998"	"http://sfcapos.com"	" Mon , Closed Tue , 5:00 pm - 10:00 pm Wed , 5:00 pm - 10:00 pm Thu , 5:00 pm - 10:00 pm Fri , 4:30 pm - 11:00 pm Sat , 4:30 pm - 11:00 pm Sun , 4:30 pm - 10:00 pm"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	NA	"No"	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Full Bar"	"Yes"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"http://statcounter.com/"	NA
"Carmel Pizza Company"	"2826 Jones StSan Francisco, CA 94133"	"(415) 915-9864"	"http://carmelpizzaco.com"	" Mon , 11:30 am - 8:30 pm Tue , 11:30 am - 8:30 pm Wed , 11:30 am - 8:30 pm Thu , 11:30 am - 8:30 pm Fri , 11:30 am - 9:00 pm Sat , 12:00 pm - 9:00 pm Sun , 12:00 pm - 8:30 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	NA	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"Yes"	"No"	NA	"http://carmelpizzaco.com"	NA
"Casa Flores"	"1808 California StSan Francisco, CA 94109"	"(408) 475-6895"	NA	" Mon , 6:00 pm - 9:00 pm Tue , 6:00 pm - 9:00 pm Wed , 6:00 pm - 9:00 pm Thu , 6:00 pm - 9:00 pm Fri , 6:00 pm - 9:00 pm Sat , 6:00 pm - 9:00 pm Sun , Closed"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"No"	"Dinner"	"Garage, Street"	"No"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"Free"	"No"	"No"	"Yes"	"Yes"	NA	NA
"Casey’s Pizza"	"San Francisco, CA 94105"	"(415) 763-7443"	"http://caseyspizzas.com"	NA	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	"No"	NA	"Street, Private Lot"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"No"	"No"	"Yes"	"Yes"	NA	"http://caseyspizzas.comcontact.html"	NA
"Castro Tarts"	"564 Castro StSan Francisco, CA 94114"	"(415) 861-3268"	NA	" Mon , Closed Tue , 7:30 am - 6:00 pm Wed , 7:30 am - 6:00 pm Thu , 7:30 am - 6:00 pm Fri , 7:30 am - 6:00 pm Sat , 8:00 am - 6:00 pm Sun , 8:00 am - 6:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Breakfast, Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Catch"	"2362 Market StSan Francisco, CA 94114"	"(415) 431-5000"	"http://catchsf.com"	" Mon , 11:00 am - 2:30 pm5:30 pm - 9:00 pm Tue , 11:00 am - 2:30 pm5:30 pm - 9:00 pm Wed , 11:00 am - 2:30 pm5:30 pm - 10:00 pm Thu , 11:00 am - 2:30 pm5:30 pm - 10:00 pm Fri , 11:00 am - 2:30 pm5:30 pm - 11:00 pm Sat , 11:00 am - 3:30 pm5:30 pm - 11:00 pm Sun , 11:00 am - 3:30 pm5:30 pm - 9:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"No"	"Yes"	"Casual"	NA	"Average"	"Full Bar"	"Yes"	"Free"	"Yes"	"No"	"No"	"Yes"	"http://catchsf.com/contact/"	NA
"CatHead’s BBQ"	"1665 Folsom StSan Francisco, CA 94103"	"(415) 861-4242"	"http://catheadsbbq.com"	" Mon , Closed Tue , Closed Wed , 11:00 am - 9:00 pm Thu , 11:00 am - 9:00 pm Fri , 11:00 am - 9:00 pm Sat , 11:00 am - 9:00 pm Sun , 11:00 am - 9:00 pm"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch, Dinner"	"Street, Private Lot"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"http://catheadsbbq.comhttp://www.thelaunchparty.net"	NA
"Causwells"	"2346 Chestnut StSan Francisco, CA 94123"	"(415) 447-6081"	"http://causwells.com"	" Mon , 11:30 am - 11:00 pm Tue , 11:30 am - 11:00 pm Wed , 11:30 am - 11:00 pm Thu , 11:30 am - 11:00 pm Fri , 11:30 am - 12:00 am Sat , 9:00 am - 12:00 am Sun , 9:00 am - 11:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"http://www.causwells.com/instagram"	NA
"Celtic Coffee Company"	"142 McAllister StSan Francisco, CA 94102"	"(415) 255-0208"	NA	" Mon , 7:00 am - 5:00 pm Tue , 7:00 am - 5:00 pm Wed , 7:00 am - 5:00 pm Thu , 7:00 am - 5:00 pm Fri , 7:00 am - 5:00 pm Sat , 8:00 am - 3:00 pm Sun , 9:00 am - 3:00 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	NA	"Street"	"No"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"Free"	"Yes"	"Yes"	"Yes"	"Yes"	NA	NA
"Central Coffee Tea & Spice"	"1696 Hayes StSan Francisco, CA 94117"	"(415) 922-2008"	"http://centralcoffeesf.com"	" Mon , 6:00 am - 2:00 pm Tue , 6:00 am - 2:00 pm Wed , 6:00 am - 2:00 pm Thu , 6:00 am - 2:00 pm Fri , 6:00 am - 2:00 pm Sat , 6:00 am - 2:00 pm Sun , 6:00 am - 2:00 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA	NA	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"Free"	"No"	"Yes"	"No"	"Yes"	"http://centralcoffeesf.com#"	NA
"Central Station Deli"	"728 Vallejo StSan Francisco, CA 94133"	"(415) 658-7310"	"http://centralstationdeli.com"	" Mon , 8:00 am - 5:30 pm Tue , 8:00 am - 5:30 pm Wed , 8:00 am - 5:30 pm Thu , 8:00 am - 5:30 pm Fri , 8:00 am - 5:30 pm Sat , 8:00 am - 5:30 pm Sun , 9:00 am - 3:30 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch"	"Street"	"No"	"Yes"	"Yes"	"Casual"	"Casual"	"Quiet"	"No"	"No"	"No"	"No"	"Yes"	"Yes"	NA	"http://centralstationdeli.com"	NA
"Cha Cha Cha"	"1801 Haight StSan Francisco, CA 94117"	"(415) 386-7670"	"http://chachachasf.com"	" Mon , 11:30 am - 11:00 pm Tue , 11:30 am - 11:00 pm Wed , 11:30 am - 11:00 pm Thu , 11:30 am - 11:00 pm Fri , 11:30 am - 11:30 pm Sat , 11:30 am - 11:30 pm Sun , 11:30 am - 11:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Loud"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"Yes"	NA	"http://chachachasf.com/contact/"	"mailto:Email: cha3sf@gmail.com"
"Chai Bar By David Rio"	"1019 Market StSan Francisco, CA 94103"	"(415) 865-0677"	"http://chaibarsf.com"	" Mon , 7:00 am - 6:30 pm Tue , 7:00 am - 6:30 pm Wed , 7:00 am - 6:30 pm Thu , 7:00 am - 6:30 pm Fri , 7:00 am - 6:30 pm Sat , 11:00 am - 6:00 pm Sun , 10:00 am - 4:30 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Breakfast"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"Free"	"No"	"Yes"	"Yes"	"Yes"	"http://chaibarsf.comcontent/contact-chaibarsf.html"	NA
"Chambers"	"601 Eddy StSan Francisco, CA 94109"	"(415) 496-5178"	"http://chambers-sf.com"	" Mon , Closed Tue , 5:00 pm - 11:00 pm Wed , 5:00 pm - 11:00 pm Thu , 5:00 pm - 11:00 pm Fri , 5:00 pm - 11:00 pm Sat , 10:30 am - 2:30 pm5:30 pm - 11:00 pm Sun , 10:30 am - 2:30 pm"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	NA	NA	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Full Bar"	"Yes"	"Free"	"No"	"No"	"No"	"Yes"	"http://chambers-sf.com/contact/"	NA
"Chantal Guillon"	"1309 Howard StSan Francisco, CA 94103"	"(415) 512-1020"	"http://chantalguillon.com"	" Mon , 8:30 am - 6:00 pm Tue , 8:30 am - 6:00 pm Wed , 8:30 am - 6:00 pm Thu , 8:30 am - 6:00 pm Fri , 8:30 am - 6:00 pm Sat , Closed Sun , Closed"	"No"	"Yes"	"Yes"	"Yes"	"Yes"	NA	"No"	"Brunch, Dessert"	"Street"	"No"	"Yes"	"Yes"	"Casual"	"Casual"	"Quiet"	"Beer & Wine Only"	"No"	"Free"	"No"	"Yes"	"Yes"	NA	"https://www.chantalguillon.com/contact-us/"	"mailto:hayes@chantalguillon.com"
"Chapeau"	"126 Clement StSan Francisco, CA 94118"	"(415) 750-9787"	"http://chapeausf.com"	" Mon , Closed Tue , Closed Wed , 5:00 pm - 10:00 pm Thu , 5:00 pm - 10:00 pm Fri , 5:00 pm - 10:30 pm Sat , 5:00 pm - 10:30 pm Sun , 5:00 pm - 10:00 pm"	"Yes"	"No"	"No"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"No"	"Yes"	"Dressy"	"Classy"	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://chapeausf.com"	NA
"Chapter 2 Coffee"	"411 Sansome StSan Francisco, CA 94111"	NA	NA	" Mon , 7:00 am - 3:30 pm Tue , 7:00 am - 3:30 pm Wed , 7:00 am - 3:30 pm Thu , 7:00 am - 3:30 pm Fri , 7:00 am - 3:30 pm Sat , Closed Sun , Closed"	"No"	"No"	"No"	"Yes"	NA	NA	NA	NA	"Private Lot"	"Yes"	"Yes"	"No"	"Casual"	NA	"Average"	"No"	"No"	"Free"	"Yes"	"Yes"	NA	"Yes"	NA	NA
"Charlie’s Deli Cafe"	"3202 Folsom StSan Francisco, CA 94117"	"(415) 641-5051"	NA	" Mon , 6:00 am - 3:00 pm Tue , 6:00 am - 3:00 pm Wed , 6:00 am - 3:00 pm Thu , 6:00 am - 3:00 pm Fri , 6:00 am - 3:00 pm Sat , 6:30 am - 3:00 pm Sun , 7:00 am - 2:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"Free"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
"Cha-Ya"	"762 Valencia StSan Francisco, CA 94110"	"(415) 252-7825"	NA	" Mon , 5:30 pm - 9:30 pm Tue , 5:30 pm - 9:30 pm Wed , 11:30 am - 9:30 pm Thu , 11:30 am - 9:30 pm Fri , 11:30 am - 10:00 pm Sat , 11:30 am - 10:00 pm Sun , 11:30 am - 9:30 pm"	"No"	"No"	"Yes"	"No"	"No"	"No"	NA	"Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"No"	"Yes"	NA	NA
"Cheese Boutique"	"660 Chenery StSan Francisco, CA 94131"	"(415) 333-3390"	NA	" Mon , 10:00 am - 7:00 pm Tue , 10:00 am - 7:00 pm Wed , 10:00 am - 7:00 pm Thu , 10:00 am - 7:00 pm Fri , 10:00 am - 7:00 pm Sat , 10:00 am - 6:30 pm Sun , 10:00 am - 5:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Quiet"	"No"	"No"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Chez Maman"	"1401 18th StSan Francisco, CA 94107"	"(415) 655-9542"	NA	" Mon , 11:30 am - 11:00 pm Tue , 11:30 am - 11:00 pm Wed , 11:30 am - 11:00 pm Thu , 11:30 am - 11:00 pm Fri , 11:30 am - 11:00 pm Sat , 10:30 am - 11:00 pm Sun , 10:30 am - 11:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"Dinner"	"Street"	"No"	"No"	"No"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	NA	NA
"Chez Maman West"	"401 Gough StSan Francisco, CA 94102"	"(415) 355-9067"	"http://chezmamansf.com/cmhayes.html"	" Mon , 11:30 am - 10:30 pm Tue , 11:30 am - 10:30 pm Wed , 11:30 am - 10:30 pm Thu , 11:30 am - 10:30 pm Fri , 11:30 am - 10:30 pm Sat , 10:30 am - 10:30 pm Sun , 10:30 am - 10:30 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Dinner"	"Street"	"No"	"No"	"No"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"No"	"Yes"	"Yes"	"http://chezmamansf.com/cmhayes.htmlcontact.html"	NA
"Chicks and Love Pizza Patio"	"1701 Folsom StSan Francisco, CA 94103"	"(415) 912-6647"	NA	" Mon , 11:00 am - 3:00 pm Tue , 11:00 am - 5:30 pm Wed , Closed Wed , Normally 11:00 am - 5:30 pm Thu , 11:00 am - 5:30 pm Fri , 11:00 am - 2:30 pm Sat , Closed"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"Yes"	"No"	"Breakfast, Brunch, Lunch"	"Garage, Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"Yes"	"Yes"	"Yes"	NA	NA
"Chile Lindo Empanadas"	"2944 16th StSan Francisco, CA 94103"	"(415) 621-6108"	"http://chilelindo.com"	" Mon , 8:00 am - 8:00 pm Tue , 8:00 am - 8:00 pm Wed , 8:00 am - 8:00 pm Thu , 8:00 am - 8:00 pm Fri , 8:00 am - 8:00 pm Sat , 10:00 am - 6:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"Free"	"No"	"Yes"	"Yes"	NA	"http://chilelindo.com/"	NA
"Chiotras Grocery"	"858 Rhode Island StSan Francisco, CA 94107"	"(415) 824-2353"	NA	" Mon , 7:30 am - 7:30 pm Tue , 7:30 am - 7:00 pm Wed , 7:30 am - 7:00 pm Thu , 7:30 am - 7:00 pm Fri , 7:30 am - 7:30 pm Sat , 8:30 am - 7:30 pm Sun , 8:30 am - 6:00 pm"	"No"	"No"	"Yes"	"Yes"	NA	NA	NA	NA	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Quiet"	"Beer & Wine Only"	"Yes"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Chloe’s Cafe"	"1399 Church StSan Francisco, CA 94114"	"(415) 648-4116"	NA	" Mon , 8:00 am - 3:00 pm Tue , 8:00 am - 3:00 pm Wed , 8:00 am - 3:00 pm Thu , 8:00 am - 3:00 pm Fri , 8:00 am - 3:00 pm Sat , 8:00 am - 2:30 pm Sun , 8:00 am - 2:30 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Breakfast, Brunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"Yes"	"No"	"No"	"Yes"	"No"	"Yes"	NA	NA
"Choice Yakiniku"	"5214-A Diamond Heights BlvdSan Francisco, CA 94131"	"(415) 206-9755"	NA	" Mon , 9:00 am - 9:00 pm Tue , 9:00 am - 9:00 pm Wed , 9:00 am - 9:00 pm Thu , 9:00 am - 9:00 pm Fri , 9:00 am - 9:00 pm Sat , 9:00 am - 9:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	"Lunch, Dinner"	"Private Lot"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Cholo Soy"	"2301 Mission StPlaza AdelanteSan Francisco, CA 94110"	"(415) 312-7232"	NA	" Mon , 8:00 am - 5:00 pm Tue , 8:00 am - 5:00 pm Wed , 8:00 am - 5:00 pm Thu , 8:00 am - 5:00 pm Fri , 8:00 am - 5:00 pm Sat , 8:00 am - 5:00 pm Sun , Closed"	"No"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"No"	"No"	"No"	"No"	"Yes"	"No"	NA	NA	NA
"Chomp N’ Swig"	"1541 Clement StSan Francisco, CA 94118"	"(415) 683-5946"	"http://chompnswig.eat24hour.com"	" Mon , 10:00 am - 9:00 pm Tue , 10:00 am - 9:00 pm Wed , 10:00 am - 9:00 pm Thu , 10:00 am - 11:00 pm Fri , 10:00 am - 11:00 pm Sat , 10:00 am - 11:00 pm Sun , 10:00 am - 9:00 pm"	"No"	"No"	"Yes"	"Yes"	"Yes"	"No"	NA	"Lunch"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"Free"	"Yes"	"No"	"No"	"Yes"	"https://eat24hours.com/"	NA
"ChouChou French Bistro"	"400 Dewey BlvdSan Francisco, CA 94116"	"(415) 242-0960"	"http://chouchoubistro.com"	" Mon , Closed Tue , 5:30 pm - 9:00 pm Wed , 11:30 am - 2:30 pm5:30 pm - 9:00 pm Thu , 11:30 am - 2:30 pm5:30 pm - 9:00 pm Fri , 11:30 am - 2:30 pm5:30 pm - 9:30 pm Sat , 11:30 am - 2:30 pm5:30 pm - 9:30 pm Sun , 11:30 am - 2:30 pm5:30 pm - 9:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	NA	"Street, Private Lot"	"Yes"	"No"	"Yes"	"Casual"	"Intimate"	"Average"	"Beer & Wine Only"	"No"	"Free"	"No"	"No"	"Yes"	"Yes"	"http://www.chouchoubistro.com/contact-us/"	"mailto:contact@chouchousf.com"
"Chow"	"215 Church StSan Francisco, CA 94114"	"(415) 552-2469"	"http://chowfoodbar.com"	" Mon , 8:00 am - 10:30 pm Tue , 8:00 am - 10:30 pm Wed , 8:00 am - 10:30 pm Thu , 8:00 am - 10:30 pm Fri , 8:00 am - 11:00 pm Sat , 8:00 am - 11:00 pm Sun , 8:00 am - 10:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	"No"	"Lunch, Dinner"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"Free"	"No"	"Yes"	"No"	"Yes"	"https://chowfoodbar.com/contact/"	NA
"Chubby Noodle"	"2205 Lombard StSan Francisco, CA 94123"	"(415) 655-3335"	"http://chubbynoodle.com"	" Mon , 5:30 pm - 11:00 pm Tue , 5:30 pm - 11:00 pm Wed , 5:30 pm - 11:00 pm Thu , 5:30 pm - 11:00 pm Fri , 5:30 pm - 11:00 pm Sat , 10:00 am - 11:00 pm Sun , 10:00 am - 11:00 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Brunch"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Casual, Trendy"	"Loud"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://chubbynoodle.com"	NA
"Church Street Cafe"	"260 Church StSan Francisco, CA 94114"	"(415) 621-2233"	NA	" Mon , 6:00 am - 10:00 pm Tue , 6:00 am - 10:00 pm Wed , 6:00 am - 10:00 pm Thu , 6:00 am - 10:00 pm Fri , 6:00 am - 10:00 pm Sat , 7:00 am - 10:00 pm Sun , 7:00 am - 10:00 pm"	"No"	"No"	"Yes"	"No"	"No"	"No"	NA	NA	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	NA	"Average"	"No"	"Yes"	"Free"	"No"	"Yes"	"No"	"Yes"	NA	NA
"Church Street Groceteria"	"300 Church StSan Francisco, CA 94114"	"(415) 660-5147"	NA	" Mon , 7:00 am - 10:00 pm Tue , 7:00 am - 10:00 pm Wed , 7:00 am - 10:00 pm Thu , 7:00 am - 10:00 pm Fri , 7:00 am - 10:00 pm Sat , 7:00 am - 9:30 pm Sun , 7:00 am - 9:00 pm"	NA	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"Yes"	"No"	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA	NA
"Cindy’s Market"	"2084 Hayes StSan Francisco, CA 94117"	"(415) 221-7403"	NA	NA	"No"	"No"	"Yes"	"Yes"	NA	NA	NA	"Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	NA	"Average"	"Beer & Wine Only"	"No"	NA	"Yes"	"Yes"	NA	NA	NA	NA
"Clancey’s Market & Deli"	"3960 Irving StSan Francisco, CA 94122"	"(415) 681-9569"	NA	" Mon , 9:00 am - 10:00 pm Tue , 9:00 am - 10:00 pm Wed , 9:00 am - 10:00 pm Thu , 9:00 am - 10:00 pm Fri , 9:00 am - 10:00 pm Sat , 9:00 am - 10:00 pm Sun , 9:00 am - 8:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Lunch"	"Street"	"Yes"	"Yes"	"No"	"Casual"	"Casual"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA
"Cockscomb"	"564 4th StSan Francisco, CA 94107"	"(415) 974-0700"	"http://cockscombsf.com"	" Mon , 11:30 am - 1:30 pm5:00 pm - 11:00 pm Tue , 11:30 am - 1:30 pm5:00 pm - 11:00 pm Wed , 11:30 am - 1:30 pm5:00 pm - 11:00 pm Thu , 11:30 am - 1:30 pm5:00 pm - 11:00 pm Fri , 11:30 am - 1:30 pm5:00 pm - 11:00 pm Sat , 5:00 pm - 11:00 pm Sun , Closed"	"Yes"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Dinner"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Full Bar"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://cockscombsf.com/contact/"	NA
"Coffee Bar"	"1890 Bryant StSan Francisco, CA 94110"	"(415) 551-8100"	"http://coffeebarsf.com"	" Mon , 7:00 am - 2:00 pm Tue , 7:00 am - 2:00 pm Wed , 7:00 am - 2:00 pm Thu , 7:00 am - 2:00 pm Fri , 7:00 am - 2:00 pm Sat , 8:00 am - 2:00 pm Sun , 8:00 am - 2:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"No"	NA	"Breakfast, Lunch"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Hipster, Casual"	"Average"	"Beer & Wine Only"	"Yes"	"Free"	"No"	"No"	"No"	"Yes"	"http://www.coffeebarsf.com/contact"	NA
"Coffee Cultures"	"1301 Mission StSan Francisco, CA 94103"	"(415) 896-4272"	"http://coffee-cultures.com"	" Mon , 7:00 am - 6:00 pm Tue , 7:00 am - 6:00 pm Wed , 7:00 am - 6:00 pm Thu , 7:00 am - 6:00 pm Fri , 7:00 am - 6:00 pm Sat , 8:00 am - 4:00 pm Sun , 8:00 am - 4:00 pm"	"No"	"No"	"Yes"	"Yes"	"No"	"Yes"	NA	"Breakfast"	"Street"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual, Upscale"	"Average"	"No"	"No"	"Free"	"No"	"Yes"	"No"	"Yes"	"http://coffee-cultures.com/contact-1/"	"mailto:info@coffee-cultures.com"
"Coin-Op Game Room"	"508 4th StSan Francisco, CA 94107"	"(628) 444-3277"	"http://coinopsf.com"	" Mon , 4:00 pm - 2:00 am Tue , 4:00 pm - 2:00 am Wed , 4:00 pm - 2:00 am Thu , 4:00 pm - 2:00 am Fri , 4:00 pm - 2:00 am Sat , 12:00 pm - 2:00 am Sun , 12:00 pm - 2:00 am"	"No"	"No"	"No"	"Yes"	"No"	"No"	"No"	"Dinner, Late Night"	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Hipster, Casual, Trendy"	"Loud"	"Full Bar"	"No"	"Free"	"No"	"No"	"Yes"	"Yes"	"http://coinopsf.com#"	NA
"Commonwealth"	"2224 Mission StSan Francisco, CA 94110"	"(415) 355-1500"	"http://commonwealthsf.com"	" Mon , 5:30 pm - 10:00 pm Tue , 5:30 pm - 10:00 pm Wed , 5:30 pm - 10:00 pm Thu , 5:30 pm - 10:00 pm Fri , 5:30 pm - 11:00 pm Sat , 5:30 pm - 11:00 pm Sun , 5:30 pm - 10:00 pm"	"Yes"	"No"	"No"	"Yes"	"No"	NA	NA	"Dinner"	"Private Lot"	"Yes"	"No"	"No"	"Casual"	NA	"Average"	"Beer & Wine Only"	"No"	"No"	"No"	"No"	"No"	"Yes"	"http://commonwealthsf.com/alacarte/"	NA
"Contigo"	"1320 Castro StSan Francisco, CA 94114"	"(415) 285-0250"	"http://contigosf.com"	" Mon , Closed Tue , 5:30 pm - 10:00 pm Wed , 5:30 pm - 10:00 pm Thu , 5:30 pm - 10:00 pm Fri , 5:30 pm - 10:00 pm Sat , 5:30 pm - 10:00 pm Sun , 5:30 pm - 9:30 pm"	"Yes"	"No"	"Yes"	"Yes"	"No"	NA	NA	NA	"Street"	"Yes"	"No"	"Yes"	"Casual"	"Trendy"	"Average"	"Beer & Wine Only"	"Yes"	"No"	"No"	"No"	"No"	"Yes"	"http://contigosf.comcontact.html"	"mailto:info@contigosf.com"
"Cool Cravings"	"1635 Divisadero StSan Francisco, CA 94115"	"(415) 771-4900"	"http://coolcravingssf.com"	" Mon , 6:00 am - 4:00 pm Tue , 6:00 am - 4:00 pm Wed , 6:00 am - 4:00 pm Thu , 6:00 am - 4:00 pm Fri , 6:00 am - 4:00 pm Sat , Closed Sun , Closed"	"No"	"Yes"	"Yes"	"Yes"	"No"	"No"	NA	"Breakfast, Brunch, Lunch"	"Garage"	"Yes"	"Yes"	"Yes"	"Casual"	"Casual"	"Average"	"No"	"No"	"Free"	"Yes"	"Yes"	"Yes"	"Yes"	"http://coolcravingssf.com#contact"	"mailto:info@coolcravingssf.com"
"Cordon Bleu"	"1574 California StSan Francisco, CA 94109"	"(415) 673-5637"	NA	" Mon , Closed Tue , 11:30 am - 10:00 pm Wed , 11:30 am - 10:00 pm Thu , 11:30 am - 10:00 pm Fri , 11:30 am - 10:00 pm Sat , 11:30 am - 10:00 pm Sun , Closed"	"No"	"No"	"Yes"	"No"	"No"	"No"	NA	"Lunch, Dinner"	"Street"	"Yes"	"No"	"No"	"Casual"	"Divey"	"Average"	"No"	"No"	"No"	"No"	"No"	"No"	"Yes"	NA	NA
